Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,160.240005,162.449997,160.020004,161.25,154.663284,448000
2018-11-26,162.279999,162.809998,160.839996,162.009995,155.392227,868000
2018-11-27,161.360001,162.440002,159.839996,161.479996,154.883865,846800
2018-11-28,161.070007,164.360001,161.070007,163.990005,157.291382,1001600
2018-11-29,163.089996,164.960007,163.070007,163.679993,156.994049,758300
2018-11-30,163.740005,165.899994,163.639999,165.110001,158.365616,2568200
2018-12-03,166.210007,166.479996,163.009995,164.970001,158.231354,988200
2018-12-04,164.789993,166.550003,162.350006,162.720001,156.073257,898800
2018-12-06,159.649994,161.050003,156.279999,160.559998,154.00148,1096800
2018-12-07,160.580002,162.029999,158.210007,158.729996,152.246231,770100
2018-12-10,158.910004,159.270004,155.610001,157.729996,151.287079,827900
2018-12-11,159.199997,161.559998,154.899994,155.75,149.38797,820300
2018-12-12,157.809998,157.990005,155.350006,155.399994,149.052277,1057000
2018-12-13,155.610001,156.25,154.130005,156.100006,149.723648,984900
2018-12-14,155.119995,155.479996,153.100006,153.830002,147.546402,962900
2018-12-17,153.630005,154.360001,149.75,150.369995,144.227722,1155600
2018-12-18,151.130005,152.440002,149.190002,150.309998,144.170151,854000
2018-12-19,150.470001,152.190002,147.869995,148.309998,142.251862,1085800
2018-12-20,148.339996,149.050003,144.860001,145.770004,139.815598,1244400
2018-12-21,144.490005,146.559998,140.639999,141.25,135.480255,3070700
2018-12-24,140.820007,140.990005,137.440002,137.440002,131.825897,729500
2018-12-26,138.410004,140.5,135.300003,140.289993,134.559464,1081700
2018-12-27,138.610001,143.139999,138.029999,143.130005,137.283463,1444900
2018-12-28,143.850006,145.179993,142.479996,143.699997,137.83017,841800
2018-12-31,144.240005,145.649994,143.679993,145.360001,139.422348,741700
2019-01-02,143.580002,144.559998,142.75,144.039993,138.15625,961600
2019-01-03,143.309998,144.070007,141.630005,141.880005,136.084518,1027400
2019-01-04,143.139999,144.759995,141.800003,144.550003,138.645447,1882800
2019-01-07,143.889999,146.130005,143.490005,144.229996,138.338516,926500
2019-01-08,144.210007,145.059998,141.880005,144.919998,139.000336,1277200
2019-01-09,145.529999,147.539993,144.789993,145.130005,139.201736,1428300
2019-01-10,145.089996,147.919998,144.399994,147.630005,141.59964,931700
2019-01-11,146.570007,147.289993,145.149994,147.25,141.235138,963200
2019-01-14,146.330002,147.889999,146.330002,147.610001,141.580444,808700
2019-01-15,147.630005,149.710007,147.199997,149.679993,143.565887,832700
2019-01-16,149.830002,151.479996,148.75,150.990005,144.822388,923000
