Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,50.459999,51.0,49.720001,50.049999,48.278179,5128332.0
2018-11-26,50.689999,51.02,49.990002,50.91,49.107727,9295599.0
2018-11-27,50.610001,50.82,49.799999,50.75,48.953384,7795113.0
2018-11-28,51.099998,51.205002,49.98,51.02,49.213837,8479540.0
2018-11-29,50.639999,52.91,50.599998,52.560001,50.699318,9367158.0
2018-11-30,52.529999,52.549999,49.259998,49.880001,48.114193,14511862.0
2018-12-03,51.0,51.439999,46.450001,46.599998,44.950306,30816390.0
2018-12-04,46.66,48.400002,46.34,46.52,44.873138,22495670.0
2018-12-06,46.25,48.310001,45.5,48.150002,46.445438,18516888.0
2018-12-07,47.869999,48.769901,47.200001,47.23,45.558006,18277425.0
2018-12-10,47.23,48.369999,46.669998,47.880001,46.184994,10970403.0
2018-12-11,48.57,48.860001,47.720001,48.200001,46.493664,12474126.0
2018-12-12,49.049999,50.220001,48.419998,48.450001,46.734814,11453591.0
2018-12-13,48.75,49.259998,47.721001,48.509998,46.79269,7755190.0
2018-12-14,47.470001,48.450001,46.970001,47.75,46.059597,7161356.0
2018-12-17,47.599998,48.419998,46.639999,47.080002,45.413319,10064952.0
2018-12-18,47.75,47.849998,46.779999,47.32,45.644821,8776092.0
2018-12-19,47.330002,48.119999,45.855,46.330002,44.689869,8363273.0
2018-12-20,46.18,47.730099,45.930099,47.049999,45.384377,9849358.0
2018-12-21,47.619999,47.959999,44.959999,45.849998,44.226852,19308946.0
2018-12-24,45.349998,46.290001,43.919998,43.990002,42.432705,6869860.0
2018-12-26,44.43,46.450001,43.709999,46.419998,44.77668,12028844.0
2018-12-27,45.709999,47.060001,45.209999,47.040001,45.374733,7529434.0
2018-12-28,47.32,47.585098,46.099998,46.799999,45.143223,5783802.0
2018-12-31,47.040001,47.32,46.009998,46.57,44.921371,7789604.0
2019-01-02,45.25,47.509998,45.1367,47.029999,45.365086,7245714.0
2019-01-03,46.439999,46.652401,45.0,45.360001,43.754208,8266386.0
2019-01-04,46.0,47.549999,45.130001,47.169998,45.500126,9081988.0
2019-01-07,47.240002,49.079899,47.09,48.5,46.783047,9112144.0
2019-01-08,49.07,51.105,49.0,49.970001,48.201008,12429131.0
2019-01-09,50.369999,51.41,49.914501,50.830002,49.030563,7769118.0
2019-01-10,50.5,51.490002,50.09,51.349998,49.532154,6416948.0
2019-01-11,46.380001,46.84,44.470001,46.540001,44.892433,35424571.0
2019-01-14,46.07,47.68,45.82,47.290001,45.615883,10183293.0
2019-01-15,47.330002,47.8853,46.619999,46.84,45.181812,8190864.0
2019-01-16,46.759998,47.375,45.860001,47.130001,45.461544,9299813.0
2019-01-17,46.950001,47.630001,46.41,47.380001,45.702698,7829079.0
2019-01-18,47.889999,49.32,47.84,48.650002,46.927738,10563520.0
2019-01-22,48.169998,48.169998,46.82,47.060001,45.394024,8415887.0
2019-01-23,47.32,47.439999,45.630001,46.02,44.390842,8951309.0
2019-01-24,45.939999,47.400002,45.889999,47.27,45.596588,6007019.0
2019-01-25,47.860001,48.389999,47.09,47.799999,46.107826,6172512.0
2019-01-28,47.0,47.220001,45.959999,46.740002,45.08535,8807146.0
2019-01-29,46.360001,46.470001,45.23,45.73,44.111103,7722259.0
2019-01-30,46.18,46.32,45.5,46.310001,44.670578,8679559.0
2019-01-31,46.459999,47.490002,45.98,47.240002,45.567654,10060306.0
2019-02-01,47.189999,47.490002,45.509998,46.009998,44.381191,16662313.0
2019-02-04,46.32,47.029999,46.07,46.779999,45.123936,10634988.0
2019-02-05,46.93,48.09,46.610001,47.84,46.146404,8673346.0
2019-02-06,45.0,45.0,42.529999,43.0,41.477753,34619612.0
2019-02-07,43.209999,44.330002,43.049999,43.959999,42.403767,17457019.0
2019-02-08,43.779999,43.93,42.880001,43.41,41.873238,19275224.0
2019-02-11,43.799999,43.799999,39.849998,40.110001,38.690067,44932372.0
2019-02-12,40.34,42.235199,40.110001,41.669998,40.194836,33515116.0
2019-02-13,42.93,45.330002,42.84,44.57,42.992172,51708876.0
2019-02-14,44.09,46.59,43.7901,45.43,43.821732,22540140.0
2019-02-15,45.470001,45.599998,44.139999,44.599998,43.021107,17152459.0
2019-02-19,44.450001,44.790001,43.5,44.48,42.905361,17261598.0
2019-02-20,44.669998,45.560001,42.48,42.779999,41.265541,21193170.0
2019-02-21,42.700001,42.860001,41.669998,41.900002,40.416691,16645310.0
2019-02-22,42.0,42.25,41.25,41.5,40.030857,13074736.0
2019-02-25,41.82,42.209999,41.0,41.959999,40.474567,12317055.0
2019-02-26,41.82,42.68,41.720001,42.080002,40.590324,9194267.0
2019-02-27,42.060001,42.360001,41.610001,41.790001,40.310589,8494233.0
2019-02-28,41.779999,42.349998,41.669998,42.139999,40.648197,12255195.0
2019-03-01,42.599998,43.179001,42.18,42.84,41.323421,9422555.0
2019-03-04,43.060001,43.25,41.310001,41.790001,40.310589,12128535.0
2019-03-05,41.84,42.0,41.049999,41.880001,40.3974,7536834.0
2019-03-06,41.950001,42.860001,41.860001,42.560001,41.053326,12535323.0
2019-03-07,42.43,42.472099,41.18,41.419998,39.953686,10470559.0
2019-03-08,41.009998,42.119999,40.889999,42.029999,40.542091,8735175.0
2019-03-11,42.23,43.099998,41.990002,42.919998,41.400578,9451092.0
2019-03-12,43.07,43.149899,42.555,42.630001,41.12085,6474860.0
2019-03-13,42.830002,43.950001,42.564999,43.700001,42.152973,7774164.0
2019-03-14,43.73,43.93,43.23,43.32,41.786423,7324745.0
2019-03-15,44.02,45.110001,43.91,44.630001,43.050045,20494107.0
2019-03-18,44.93,45.16,44.119999,44.970001,43.378014,11344595.0
2019-03-19,45.610001,47.294998,45.290001,46.419998,44.77668,16098945.0
2019-03-20,46.369999,47.09,46.130001,46.16,44.525887,14270416.0
2019-03-21,46.080002,48.830002,45.900002,48.599998,46.879505,13972937.0
2019-03-22,48.310001,48.450001,46.279999,46.869999,45.210747,11117692.0
2019-03-25,46.75,47.544998,46.419998,46.98,45.316856,6976906.0
2019-03-26,47.279999,47.880001,45.959999,46.43,44.786327,9712040.0
