Date,Open,High,Low,Close,Adj Close,Volume
2018-10-12,106.959999,108.129997,104.410004,106.099998,104.339256,5384500
2018-10-15,105.449997,107.029999,104.019997,105.879997,104.122917,2602000
2018-10-16,106.760002,108.510002,106.529999,107.419998,105.637344,5441900
2018-10-17,107.760002,109.360001,106.940002,108.790001,106.984612,3196200
2018-10-18,107.339996,107.849998,104.769997,105.800003,104.04425,4731800
2018-10-19,106.300003,107.489998,101.980003,102.110001,100.415474,5432300
2018-10-22,102.809998,104.239998,101.239998,101.360001,99.677917,4983100
2018-10-23,99.410004,100.059998,97.800003,99.089996,97.445587,6842900
2018-10-24,98.809998,100.199997,96.099998,96.25,94.652718,4851800
2018-10-25,97.860001,99.480003,97.620003,98.639999,97.003036,5610900
2018-10-26,95.93,98.760002,95.589996,96.220001,94.623215,4263500
2018-10-29,95.779999,97.300003,89.120003,91.190002,89.676689,9957000
2018-10-30,91.669998,94.830002,91.0,94.830002,93.256279,6678700
2018-10-31,92.0,95.370003,89.940002,90.980003,89.470177,17510800
2018-11-01,91.0,95.050003,91.0,94.199997,92.636749,5444200
2018-11-02,95.290001,95.800003,91.839996,92.459999,90.925613,5325300
2018-11-05,92.57,93.059998,91.160004,92.690002,91.151787,4163800
2018-11-06,92.690002,93.5,91.57,92.230003,90.69944,4121700
2018-11-07,93.0,94.629997,92.260002,93.800003,92.24337,7249200
2018-11-08,94.010002,94.239998,92.330002,93.870003,92.312225,5045800
2018-11-09,92.860001,92.860001,88.220001,88.889999,87.414848,7236500
2018-11-12,88.599998,88.879997,86.010002,87.660004,86.205269,5123600
2018-11-13,88.330002,89.349998,86.989998,87.389999,85.939758,3732300
2018-11-14,88.239998,88.360001,84.980003,85.760002,84.3368,3591300
2018-11-15,86.019997,88.279999,84.860001,88.25,86.785469,3827400
2018-11-16,87.449997,87.879997,84.980003,85.970001,84.543312,4585300
2018-11-19,86.099998,86.209999,82.720001,83.040001,81.661949,4461800
2018-11-20,80.82,83.43,80.419998,83.019997,81.64225,5388800
2018-11-21,83.940002,85.480003,83.43,84.019997,82.625656,3272900
2018-11-23,83.82,84.25,82.419998,82.669998,81.298088,1906800
2018-11-26,83.519997,85.010002,82.489998,84.93,83.520576,5383800
2018-11-27,84.68,85.669998,83.239998,85.040001,83.628738,3372200
2018-11-28,85.510002,86.32,83.919998,85.900002,84.474495,4197200
2018-11-29,85.089996,87.239998,84.629997,86.389999,84.956352,3527300
2018-11-30,86.309998,86.830002,83.730003,84.07,82.67485,5395500
2018-12-03,85.809998,86.639999,83.339996,84.0,82.606003,5052200
2018-12-04,83.440002,84.889999,81.0,81.18,79.832802,5129500
2018-12-06,79.940002,83.879997,79.5,83.879997,82.487991,5747500
2018-12-07,83.779999,85.139999,82.220001,82.519997,81.150566,4589100
2018-12-10,82.339996,84.599998,82.300003,83.730003,82.340492,3888400
2018-12-11,85.120003,85.32,82.730003,83.440002,82.055313,3876700
2018-12-12,84.32,85.370003,82.910004,82.989998,81.61277,3400500
2018-12-13,83.910004,83.940002,80.779999,80.860001,79.518112,5011100
2018-12-14,79.82,81.949997,79.139999,80.160004,78.829742,5227600
2018-12-17,80.139999,82.019997,78.480003,79.230003,77.915184,4083500
2018-12-18,79.68,81.800003,79.379997,80.0,78.672379,6191100
2018-12-19,80.029999,81.220001,77.339996,78.360001,77.059608,6416600
2018-12-20,77.68,79.389999,76.459999,77.440002,76.154869,5567700
2018-12-21,78.300003,79.459999,75.629997,76.57,75.299309,7829900
2018-12-24,75.760002,77.400002,74.379997,74.720001,73.480003,2556900
2018-12-26,75.199997,77.949997,73.910004,77.889999,76.597412,3257300
2018-12-27,77.110001,79.459999,76.760002,79.43,78.111847,4261000
2018-12-28,79.959999,80.290001,78.300003,79.300003,77.984001,2733600
2018-12-31,80.0,80.379997,78.300003,78.910004,77.600487,2942400
2019-01-02,77.220001,80.639999,77.199997,80.370003,79.036263,3176600
2019-01-03,79.449997,80.349998,77.620003,78.709999,77.403809,3747100
2019-01-04,80.82,85.25,80.040001,84.419998,83.019051,7254400
2019-01-07,84.889999,88.099998,83.440002,87.589996,86.136436,6611300
2019-01-08,88.459999,89.739998,87.690002,89.019997,87.542702,6468300
2019-01-09,89.809998,90.989998,87.889999,88.910004,87.434532,4178800
2019-01-10,88.790001,91.440002,88.519997,91.010002,89.499687,4745600
2019-01-11,90.669998,91.589996,89.910004,90.699997,89.194839,3757600
2019-01-14,89.620003,89.980003,88.419998,88.580002,87.110016,3351500
2019-01-15,88.959999,89.580002,88.370003,89.489998,88.004906,2794600
2019-01-16,88.0,90.089996,85.959999,89.919998,88.427765,6613100
2019-01-17,87.949997,89.849998,87.650002,89.309998,87.827896,4283300
2019-01-18,90.309998,93.160004,90.230003,92.519997,90.984619,5403600
2019-01-22,91.68,91.989998,90.010002,91.309998,89.794701,4474700
2019-01-23,91.93,92.0,88.440002,89.129997,87.650871,4085900
2019-01-24,89.360001,91.550003,88.529999,91.480003,89.961884,3167900
2019-01-25,92.449997,92.980003,90.870003,91.739998,90.217567,4167700
2019-01-28,89.449997,90.650002,88.650002,90.470001,88.968636,4339500
2019-01-29,89.889999,89.889999,86.82,87.239998,85.792244,3961400
2019-01-30,87.620003,89.269997,86.849998,89.230003,87.749229,3797800
2019-01-31,89.980003,92.800003,89.550003,92.239998,90.709267,4148200
2019-02-01,92.199997,92.800003,90.830002,91.220001,89.7062,2890300
2019-02-04,91.059998,91.07,88.190002,88.43,86.962486,5982500
2019-02-05,89.059998,92.849998,88.889999,92.519997,90.984619,11931400
2019-02-06,79.139999,81.589996,78.0,80.209999,78.878906,30198600
2019-02-07,79.900002,85.589996,79.900002,84.099998,82.704338,11391300
2019-02-08,86.510002,97.650002,85.0,97.599998,95.980309,26898500
2019-02-11,102.160004,106.949997,96.730003,97.239998,95.626274,38704500
2019-02-12,106.309998,106.699997,99.019997,102.330002,100.631813,31161300
2019-02-13,104.559998,105.239998,100.68,102.25,100.553162,15890000
2019-02-14,101.410004,105.870003,101.0,105.25,103.503349,10547000
2019-02-15,107.400002,108.800003,104.730003,106.839996,105.066978,11254900
2019-02-19,105.75,105.75,101.290001,102.959999,101.251366,10882700
2019-02-20,102.43,102.910004,97.550003,98.629997,96.993217,10649100
2019-02-21,98.769997,98.989998,96.0,96.860001,95.252609,8104300
2019-02-22,97.059998,97.309998,92.849998,95.919998,94.328178,11617000
2019-02-25,96.32,96.629997,93.639999,95.860001,94.269211,7046600
2019-02-26,95.650002,99.610001,94.82,98.5,96.865395,8701100
2019-02-27,98.82,100.809998,97.400002,97.839996,96.216331,5207600
2019-02-28,97.959999,98.639999,95.669998,95.779999,94.190521,5695000
2019-03-01,96.830002,97.940002,95.309998,97.410004,95.793465,4443600
2019-03-04,98.309998,99.43,95.57,97.290001,95.675461,7187200
2019-03-05,96.260002,97.059998,95.150002,95.720001,94.1315,6041900
2019-03-06,95.32,96.379997,94.129997,94.769997,93.197281,3987500
2019-03-07,95.0,99.559998,94.470001,99.360001,97.711098,8866800
2019-03-08,97.959999,99.75,97.480003,98.360001,96.727699,7357900
2019-03-11,98.599998,99.959999,97.940002,99.040001,97.396423,4623500
2019-03-12,99.400002,99.5,98.150002,98.589996,96.953888,3737600
2019-03-13,98.690002,101.080002,97.769997,100.129997,98.468323,6980000
2019-03-14,100.220001,100.339996,97.540001,98.830002,97.189911,5908900
2019-03-15,99.660004,100.150002,98.239998,98.980003,97.337418,5141800
2019-03-18,99.160004,99.889999,96.730003,99.660004,98.006142,5113000
