Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,17.290001,18.32,17.27,18.110001,17.28294,3538800
2018-11-26,18.15,18.719999,18.030001,18.68,17.826906,7677000
2018-11-27,18.559999,18.799999,18.15,18.67,17.817366,6644100
2018-11-28,18.59,19.200001,18.25,19.07,18.199099,5772100
2018-11-29,19.08,19.27,18.469999,18.799999,17.941429,6855100
2018-11-30,18.690001,19.0,18.42,18.709999,17.855536,4814300
2018-12-03,19.16,19.27,18.139999,18.91,18.046404,7427800
2018-12-04,18.959999,19.34,18.18,18.25,17.416546,4767400
2018-12-06,17.870001,18.049999,17.309999,17.99,17.168417,5852100
2018-12-07,18.379999,19.549999,18.129999,18.41,17.569233,8203600
2018-12-10,18.209999,19.75,18.110001,19.629999,18.733521,12089200
2018-12-11,19.860001,20.870001,19.83,20.280001,19.353838,12622500
2018-12-12,20.49,20.73,19.969999,19.99,19.077082,9079100
2018-12-13,20.09,20.799999,19.799999,20.190001,19.26795,7191800
2018-12-14,20.17,20.190001,19.219999,19.4,18.514025,7053000
2018-12-17,19.219999,19.93,18.790001,18.889999,18.027317,6387200
2018-12-18,19.09,19.18,18.639999,18.870001,18.008232,5869800
2018-12-19,18.889999,19.780001,18.690001,18.889999,18.027317,8051100
2018-12-20,18.700001,19.709999,18.139999,18.549999,17.702843,9243500
2018-12-21,18.440001,19.07,18.26,18.67,17.817366,10150200
2018-12-24,18.459999,18.51,17.51,17.59,16.78669,2774500
2018-12-26,17.73,19.450001,17.299999,19.370001,18.485397,5662200
2018-12-27,19.1,19.83,18.809999,19.83,18.924389,5501200
2018-12-28,19.93,20.0,18.92,19.190001,18.31362,3500100
2018-12-31,19.389999,19.389999,18.48,18.889999,18.027317,4776500
2019-01-02,18.52,19.950001,18.190001,19.9,18.99119,7754200
2019-01-03,19.91,19.91,19.030001,19.32,18.437679,4970000
2019-01-04,19.68,20.18,19.08,19.52,18.62855,11672100
2019-01-07,19.15,20.620001,19.030001,19.74,18.838497,8225800
