Date,Open,High,Low,Close,Adj Close,Volume
2018-10-12,55.459999,55.860001,54.889999,55.619999,46.556019,1758300
2018-10-15,55.639999,56.119999,55.639999,55.73,46.648087,1239500
2018-10-16,55.57,56.439999,55.380001,56.139999,46.991276,1639900
2018-10-17,56.040001,56.299999,55.84,56.009998,46.882465,1169600
2018-10-18,56.07,56.290001,55.830002,56.259998,47.091713,1178500
2018-10-19,56.240002,57.18,56.119999,57.02,47.727867,1519000
2018-10-22,57.02,57.07,56.509998,56.810001,47.55209,1479400
2018-10-23,56.849998,57.240002,56.110001,56.43,47.234028,1596200
2018-10-24,56.630001,57.689999,56.41,57.310001,47.970612,1493400
2018-10-25,57.029999,57.029999,56.509998,56.75,47.501869,1185700
2018-10-26,56.93,57.240002,55.580002,56.119999,46.974533,1783300
2018-10-29,56.200001,57.049999,56.200001,56.57,47.351208,1290400
2018-10-30,56.77,56.939999,55.860001,56.279999,47.108463,1448700
2018-10-31,56.080002,56.400002,55.41,55.990002,46.865719,2117200
2018-11-01,55.93,56.220001,55.700001,56.110001,46.966167,1778100
2018-11-02,56.209999,56.599998,55.490002,55.830002,46.731792,983300
2018-11-05,55.630001,56.759998,55.580002,56.34,47.158688,1330900
2018-11-06,56.360001,57.139999,56.209999,57.02,47.727867,1085400
2018-11-07,57.18,57.459999,56.740002,57.18,47.861797,1299500
2018-11-08,58.009998,58.009998,56.209999,57.139999,47.828312,1772200
2018-11-09,57.220001,58.509998,57.029999,58.349998,48.841129,1391500
2018-11-12,58.200001,59.790001,58.139999,59.310001,49.644691,1353500
2018-11-13,59.240002,59.860001,58.66,59.73,49.996235,1456900
2018-11-14,59.459999,60.25,59.25,59.939999,50.172016,1822200
2018-11-15,59.689999,60.220001,59.080002,60.09,50.297577,1887700
2018-11-16,60.73,61.099998,59.849998,60.119999,50.322685,2070500
2018-11-19,60.049999,60.18,59.189999,59.849998,50.096684,1640700
2018-11-20,60.189999,60.66,59.5,59.700001,49.97113,1745300
2018-11-21,59.529999,59.790001,58.450001,58.650002,49.092243,853600
2018-11-23,58.650002,58.799999,57.939999,58.73,49.159199,539500
2018-11-26,58.57,59.540001,58.57,59.529999,49.828831,1615800
2018-11-27,59.549999,59.990002,59.029999,59.98,50.205494,1537400
2018-11-28,59.490002,59.91,58.830002,59.130001,49.889099,1381000
2018-11-29,59.240002,59.25,58.110001,58.82,49.627556,1656900
2018-11-30,58.990002,59.549999,58.48,59.369999,50.091595,2113100
2018-12-03,59.200001,59.720001,58.68,59.709999,50.378456,1294900
2018-12-04,59.939999,60.959999,59.869999,60.040001,50.656891,2045400
2018-12-06,60.290001,60.810001,59.43,60.77,51.272804,2016200
2018-12-07,60.82,60.91,59.919998,60.310001,50.884705,1682700
2018-12-10,60.299999,60.610001,59.029999,60.509998,51.053432,1917800
2018-12-11,60.490002,61.0,60.25,60.630001,51.154678,1365500
2018-12-12,60.580002,61.0,59.73,59.830002,50.479706,1495800
2018-12-13,59.790001,60.77,59.700001,60.23,50.817196,1858900
2018-12-14,60.34,60.869999,60.07,60.540001,51.078754,1573000
2018-12-17,60.73,60.939999,58.27,58.349998,49.231007,2480500
2018-12-18,58.75,59.450001,57.98,58.25,49.146629,1881400
2018-12-19,58.369999,58.669998,57.68,58.080002,49.003197,1911600
2018-12-20,57.959999,59.25,57.110001,58.009998,48.944134,2751700
2018-12-21,58.040001,59.580002,57.580002,58.279999,49.171947,5400800
