Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,20.360001,20.549999,20.290001,20.5,20.210676,1396000
2018-11-26,20.709999,20.77,20.32,20.459999,20.171236,2679700
2018-11-27,20.26,20.41,20.01,20.379999,20.092369,4917000
2018-11-28,20.450001,20.969999,20.32,20.82,20.526155,3230900
2018-11-29,20.75,21.690001,20.549999,21.34,21.03882,8138200
2018-11-30,21.26,21.49,20.93,21.48,21.17684,4514500
2018-12-03,21.58,21.74,21.059999,21.52,21.21628,6172600
2018-12-04,21.52,21.67,20.59,20.85,20.555735,4588500
2018-12-06,20.379999,20.709999,20.17,20.530001,20.240252,5165000
2018-12-07,20.549999,20.780001,20.209999,20.290001,20.003635,4059000
2018-12-10,20.23,20.35,19.48,19.889999,19.609282,5585400
2018-12-11,20.32,20.67,19.82,20.139999,19.855757,3734900
2018-12-12,20.5,20.620001,20.17,20.26,19.974064,4298300
2018-12-13,20.299999,20.49,19.82,19.940001,19.658575,2903400
2018-12-14,19.799999,20.18,19.65,19.74,19.461399,6388900
2018-12-17,19.66,20.059999,18.959999,19.15,18.879728,5956800
2018-12-18,19.379999,19.549999,18.610001,18.700001,18.436079,4578300
2018-12-19,18.67,18.99,17.85,17.92,17.667088,5334300
2018-12-20,18.09,18.16,17.290001,17.559999,17.312168,6015000
2018-12-21,17.5,17.950001,16.91,16.98,16.740351,10688500
2018-12-24,16.73,16.84,16.1,16.139999,15.912209,2468200
2018-12-26,16.290001,16.84,15.63,16.84,16.602324,4760900
2018-12-27,16.58,17.040001,16.25,17.030001,16.789648,3833400
2018-12-28,17.1,17.26,16.690001,16.76,16.523462,2869000
2018-12-31,16.780001,16.91,16.35,16.860001,16.622047,5099300
2019-01-02,16.65,18.6,16.540001,18.559999,18.298054,11174900
2019-01-03,18.59,18.620001,18.0,18.43,18.169891,6114000
2019-01-04,18.67,19.35,18.620001,18.959999,18.692408,5840600
2019-01-07,18.93,19.5,18.780001,19.41,19.136061,4690100
2019-01-08,19.629999,19.76,19.43,19.469999,19.19521,4085200
2019-01-09,19.719999,19.82,19.469999,19.52,19.244503,3162600
2019-01-10,19.43,19.719999,18.950001,19.610001,19.333235,3849100
2019-01-11,19.35,19.790001,19.35,19.68,19.402245,2762500
2019-01-14,19.290001,19.530001,19.040001,19.370001,19.096619,3822500
2019-01-15,19.33,20.299999,19.030001,20.07,19.786743,12646700
2019-01-16,20.1,20.370001,19.83,20.1,19.816319,5559300
2019-01-17,20.0,20.370001,20.0,20.18,19.895189,5380300
2019-01-18,20.370001,20.610001,20.219999,20.34,20.052933,6283800
2019-01-22,16.700001,17.49,16.120001,17.09,16.848803,42345700
2019-01-23,17.280001,18.299999,17.280001,18.049999,17.795248,13053900
2019-01-24,18.049999,18.559999,17.59,18.4,18.140308,7354700
2019-01-25,18.6,18.9,18.5,18.540001,18.278336,7882500
2019-01-28,18.299999,18.52,18.059999,18.26,18.002287,3779200
2019-01-29,18.4,18.68,18.32,18.389999,18.130451,5557800
2019-01-30,18.65,18.93,18.299999,18.709999,18.445936,4591900
2019-01-31,18.639999,18.950001,18.620001,18.82,18.554386,3723200
2019-02-01,18.879999,18.99,18.41,18.5,18.238901,5306500
2019-02-04,18.51,18.74,18.34,18.73,18.465652,4693000
2019-02-05,18.76,18.99,18.68,18.809999,18.544527,3252400
2019-02-06,18.360001,18.870001,17.85,18.32,18.061445,10541900
2019-02-07,18.23,18.280001,17.34,17.68,17.487745,6946400
2019-02-08,18.1,18.200001,16.66,17.1,16.914053,9983100
2019-02-11,17.299999,17.940001,17.299999,17.49,17.299812,9027000
2019-02-12,17.6,18.049999,17.6,17.92,17.725138,6004000
2019-02-13,18.0,18.25,17.879999,17.889999,17.695463,4740200
2019-02-14,17.84,17.879999,17.459999,17.49,17.299812,3977500
2019-02-15,17.629999,17.84,17.51,17.549999,17.359161,4910500
2019-02-19,17.719999,18.25,17.700001,18.059999,17.863617,6580700
2019-02-20,18.059999,18.559999,17.98,18.389999,18.190025,5153100
2019-02-21,18.35,18.57,18.18,18.24,18.04166,4489200
2019-02-22,18.35,18.4,17.93,18.280001,18.081223,4071100
2019-02-25,18.35,18.5,18.24,18.41,18.20981,5000400
2019-02-26,18.35,18.690001,18.25,18.42,18.219704,5377000
2019-02-27,18.379999,18.77,18.379999,18.629999,18.427416,4039400
2019-02-28,18.540001,18.68,18.41,18.49,18.288939,3300700
2019-03-01,18.610001,18.73,18.379999,18.700001,18.496653,4746300
2019-03-04,18.879999,19.16,18.450001,18.49,18.288939,3939700
2019-03-05,18.540001,18.82,18.450001,18.610001,18.407631,4821800
2019-03-06,18.610001,18.950001,18.52,18.610001,18.407631,4824700
2019-03-07,18.559999,18.620001,18.030001,18.32,18.120789,4455600
2019-03-08,18.209999,18.719999,18.110001,18.49,18.288939,2864300
2019-03-11,18.24,18.93,18.219999,18.809999,18.605457,4996800
2019-03-12,18.799999,18.950001,18.639999,18.870001,18.664808,5101400
2019-03-13,18.92,19.110001,18.85,18.950001,18.74394,4015400
2019-03-14,18.91,19.200001,18.91,18.950001,18.74394,3734600
2019-03-15,18.93,19.120001,18.860001,18.99,18.783504,6252100
2019-03-18,19.030001,19.34,18.950001,19.23,19.020891,4311800
2019-03-19,19.280001,19.48,19.02,19.120001,18.912088,4349000
2019-03-20,19.08,19.209999,18.959999,19.08,18.872526,3572700
