Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,34.959999,35.169998,34.59,35.0,32.976032,1475100
2018-11-26,35.200001,35.830002,35.200001,35.77,33.701515,3037800
2018-11-27,35.5,35.82,34.91,35.060001,33.032566,2854500
2018-11-28,35.419998,35.529999,34.470001,35.32,33.277538,3352000
2018-11-29,35.25,36.48,35.25,36.169998,34.078377,3839400
2018-11-30,36.0,36.279999,35.580002,36.0,33.918213,4812200
2018-12-03,36.889999,37.330002,36.400002,36.860001,34.728477,3754400
2018-12-04,36.580002,36.990002,35.189999,35.279999,33.239849,4123900
2018-12-06,34.560001,34.59,33.009998,34.549999,32.575153,5329700
2018-12-07,34.68,35.099998,33.389999,33.52,31.604017,4314700
2018-12-10,33.419998,33.799999,32.700001,33.200001,31.302315,4296500
2018-12-11,33.860001,34.139999,32.919998,33.0,31.113749,2835000
2018-12-12,32.07,32.490002,30.860001,30.91,29.143202,9837600
2018-12-13,31.0,31.540001,30.639999,30.91,29.143202,5795400
2018-12-14,30.6,31.299999,30.549999,30.93,29.162066,3506500
2018-12-17,30.809999,31.33,29.879999,30.059999,28.341793,3999800
2018-12-18,30.35,30.75,30.1,30.33,28.596363,3861500
2018-12-19,30.41,31.07,29.469999,29.58,27.889229,4446000
2018-12-20,29.620001,29.959999,28.209999,28.790001,27.144388,5935200
2018-12-21,28.51,29.34,28.32,28.559999,26.927528,7628800
2018-12-24,28.0,28.540001,27.639999,27.65,26.069542,1996100
2018-12-26,27.870001,29.309999,27.52,29.309999,27.634657,3732600
2018-12-27,28.879999,29.57,28.51,29.559999,27.870371,2613600
2018-12-28,29.700001,29.77,28.75,28.82,27.172668,2698800
2018-12-31,28.99,29.33,28.84,29.209999,27.54038,2059200
2019-01-02,28.790001,29.389999,28.59,29.18,27.512093,3792300
2019-01-03,29.030001,29.190001,28.389999,28.450001,26.82382,4278600
2019-01-04,29.09,30.549999,29.07,30.389999,28.652931,4019500
2019-01-07,30.42,31.09,30.07,30.620001,28.869783,3211400
2019-01-08,31.02,31.48,30.809999,31.360001,29.567488,3121600
2019-01-09,31.59,31.719999,31.09,31.35,29.558058,3049100
2019-01-10,31.0,31.57,30.700001,31.57,29.76548,2534100
2019-01-11,31.379999,31.65,30.75,31.639999,29.83148,3577800
2019-01-14,31.1,31.68,30.860001,31.379999,29.586336,2572700
2019-01-15,31.35,31.59,30.92,31.4,29.605192,2271800
2019-01-16,31.360001,31.969999,31.1,31.49,29.690056,2526200
2019-01-17,31.379999,32.299999,31.360001,31.959999,30.133188,2285500
2019-01-18,32.119999,32.560001,31.809999,32.200001,30.359468,3763300
2019-01-22,31.91,32.02,30.83,30.969999,29.199774,4191300
2019-01-23,30.969999,31.389999,30.540001,31.16,29.378914,3463100
2019-01-24,31.1,31.43,30.92,31.01,29.23749,2637500
2019-01-25,31.75,32.380001,31.57,31.889999,30.067188,3355700
2019-01-28,31.450001,31.709999,30.9,31.59,29.784338,3836500
2019-01-29,31.790001,32.18,31.530001,31.780001,29.963482,3083500
2019-01-30,31.98,32.049999,31.32,31.91,30.086048,1844700
2019-01-31,31.610001,32.32,31.23,32.279999,30.434896,2801800
2019-02-01,32.330002,32.669998,32.139999,32.599998,30.736607,2867700
2019-02-04,32.490002,32.560001,31.76,31.950001,30.123762,4630500
2019-02-05,31.969999,32.209999,31.77,32.200001,30.359468,3108100
2019-02-06,31.940001,32.5,31.870001,32.459999,30.604605,2814800
2019-02-07,32.080002,32.119999,31.01,31.4,29.605192,4198600
2019-02-08,31.040001,31.440001,30.65,31.190001,29.407206,4450400
2019-02-11,31.309999,31.41,30.33,30.92,29.152634,4371600
2019-02-12,31.309999,32.119999,31.16,31.889999,30.067188,4936400
2019-02-13,32.0,32.619999,32.0,32.060001,30.22747,3979500
2019-02-14,31.9,32.57,31.719999,31.940001,30.114334,3144600
2019-02-15,32.310001,32.369999,31.719999,32.110001,30.274618,4556800
2019-02-19,31.75,32.490002,31.25,32.279999,30.434896,3519400
2019-02-20,32.299999,33.73,32.299999,33.48,31.566307,3961500
2019-02-21,33.869999,33.889999,33.0,33.169998,31.274017,3452700
2019-02-22,32.75,32.919998,32.139999,32.299999,30.453756,4813600
2019-02-25,32.84,33.23,32.5,32.77,30.896887,5904200
2019-02-26,33.02,33.91,31.02,31.440001,29.642914,10162200
2019-02-27,31.389999,32.490002,31.25,32.169998,30.331186,6092800
2019-02-28,32.009998,32.09,30.959999,31.27,29.482632,5143300
2019-03-01,31.41,31.620001,30.790001,31.0,29.228062,4901700
2019-03-04,31.110001,31.25,30.27,30.82,29.058353,5028700
2019-03-05,30.76,31.110001,29.82,29.889999,28.181509,6366800
2019-03-06,29.85,30.01,29.16,29.23,27.582298,4113300
2019-03-07,28.77,28.799999,27.809999,27.92,26.346149,7962600
2019-03-08,27.66,28.370001,27.540001,28.02,26.44051,5647100
2019-03-11,28.219999,28.74,28.09,28.709999,27.091616,4026300
2019-03-12,28.74,29.07,28.639999,28.67,27.053867,3499200
2019-03-13,28.969999,29.16,28.66,28.75,27.129358,3813400
2019-03-14,28.6,28.719999,28.209999,28.379999,26.780216,3686700
2019-03-15,28.360001,29.01,28.32,28.709999,27.091616,6043600
2019-03-18,28.82,28.98,28.52,28.639999,27.025562,3341900
2019-03-19,28.870001,28.99,28.469999,28.549999,26.940632,2885300
2019-03-20,28.379999,28.49,27.98,28.18,26.591492,3261000
2019-03-21,28.09,28.610001,28.08,28.299999,26.704729,3122100
2019-03-22,27.959999,28.120001,26.809999,26.85,25.336464,3796400
2019-03-25,26.74,27.18,26.629999,26.93,25.411957,2494300
2019-03-26,27.1,27.26,25.950001,26.42,24.930698,6458800
2019-03-27,26.52,26.879999,26.52,26.6,25.100554,3874800
2019-03-28,27.030001,27.700001,26.91,27.17,25.638426,5906700
2019-03-29,27.379999,27.68,27.110001,27.309999,25.770535,3913200
2019-04-01,27.4,27.940001,27.33,27.84,26.270655,3181600
2019-04-02,27.82,27.959999,27.4,27.51,25.959259,2925800
2019-04-03,27.790001,27.969999,27.25,27.360001,25.817715,3661300
2019-04-04,27.290001,27.73,27.129999,27.719999,26.157423,2294700
2019-04-05,27.77,28.01,27.59,27.92,26.346149,3509000
2019-04-08,27.93,27.940001,27.559999,27.85,26.280094,2275800
2019-04-09,27.690001,27.889999,27.360001,27.440001,25.893202,2449400
2019-04-10,27.5,27.620001,27.219999,27.360001,25.817715,4568500
2019-04-11,27.290001,27.370001,26.860001,27.0,25.478004,2770500
2019-04-12,26.809999,27.1,26.42,26.799999,25.289278,6289200
2019-04-15,26.85,27.23,26.610001,26.629999,25.12886,3459800
