Date,Open,High,Low,Close,Adj Close,Volume
2018-10-12,67.25,67.57,66.410004,67.209999,57.602116,1050700
2018-10-15,67.230003,68.599998,67.139999,68.019997,58.296318,915800
2018-10-16,68.5,69.290001,67.75,68.790001,58.956253,979200
2018-10-17,68.519997,68.660004,67.540001,68.620003,58.810555,800400
2018-10-18,68.510002,68.510002,66.790001,67.309998,57.687817,1618300
2018-10-19,67.599998,68.0,67.199997,67.43,57.790661,995000
2018-10-22,67.589996,67.860001,66.279999,66.839996,57.285011,702800
2018-10-23,66.150002,67.25,65.330002,66.900002,57.336437,1281300
2018-10-24,66.75,67.519997,65.550003,65.639999,56.25655,634900
2018-10-25,65.620003,66.589996,65.300003,66.120003,56.667942,853700
2018-10-26,65.580002,66.080002,64.580002,65.230003,55.905174,1317000
2018-10-29,65.290001,66.779999,65.18,65.769997,56.367973,964100
2018-10-30,65.660004,69.300003,65.089996,68.019997,58.296318,2525700
2018-10-31,68.360001,68.75,61.330002,61.799999,52.965492,7275400
2018-11-01,61.82,63.389999,61.259998,62.57,53.625427,2532600
2018-11-02,62.740002,63.75,62.110001,62.5,53.565434,1811200
2018-11-05,62.5,63.279999,61.889999,62.0,53.136898,1982400
2018-11-06,63.07,63.630001,62.27,63.330002,54.276779,1801100
2018-11-07,63.549999,64.18,62.68,62.75,53.77969,2156000
2018-11-08,63.27,63.400002,62.400002,62.48,53.54829,1672500
2018-11-09,62.380001,63.5,62.200001,63.27,54.225349,957700
2018-11-12,63.560001,63.759998,61.889999,62.09,53.214035,777800
2018-11-13,62.369999,62.98,61.509998,61.73,52.905502,1110900
2018-11-14,61.52,61.66,59.560001,60.09,51.499947,1627400
2018-11-15,60.0,60.259998,58.830002,59.009998,50.574329,1933600
2018-11-16,58.290001,59.23,58.09,58.41,50.487892,1791700
2018-11-19,58.439999,58.82,58.110001,58.41,50.487892,1119100
2018-11-20,58.470001,58.860001,57.830002,58.029999,50.159439,1304400
2018-11-21,58.209999,58.91,58.18,58.23,50.33231,1161100
2018-11-23,58.25,58.25,57.16,57.509998,49.709969,496400
2018-11-26,57.52,58.66,57.509998,58.470001,50.539764,1122300
2018-11-27,58.459999,58.990002,57.799999,58.299999,50.392815,876200
2018-11-28,58.43,58.75,57.630001,58.630001,50.678066,655800
2018-11-29,58.5,58.849998,57.779999,57.959999,50.098934,1003100
2018-11-30,57.830002,58.169998,56.799999,57.07,49.329643,2157900
2018-12-03,59.599998,59.599998,57.580002,59.330002,51.283127,1785600
2018-12-04,59.310001,59.490002,57.380001,58.040001,50.168079,2740500
2018-12-06,57.880001,58.689999,56.139999,58.669998,50.712631,1629800
2018-12-07,58.43,59.91,57.630001,59.470001,51.404125,2157600
2018-12-10,61.43,62.919998,59.169998,59.639999,51.551079,3670400
2018-12-11,60.0,60.48,58.189999,58.470001,50.539764,1685700
2018-12-12,58.880001,60.650002,58.529999,59.630001,51.542435,1717000
2018-12-13,59.75,60.119999,58.73,59.080002,51.067032,1185400
2018-12-14,58.73,60.200001,58.32,58.830002,50.850929,918400
2018-12-17,58.610001,58.91,57.66,57.889999,50.038429,1040400
2018-12-18,58.0,58.490002,56.720001,56.790001,49.087624,1292500
2018-12-19,57.169998,57.790001,56.360001,56.57,48.897461,1567700
2018-12-20,56.139999,56.23,53.650002,54.25,46.89212,1795500
2018-12-21,54.389999,55.330002,53.279999,53.349998,46.114185,1730800
2018-12-24,53.029999,53.029999,51.450001,52.060001,44.999142,764500
2018-12-26,52.169998,53.619999,51.130001,53.5,46.243839,1505400
2018-12-27,52.970001,53.310001,51.790001,53.290001,46.062317,1055400
2018-12-28,53.32,53.84,52.610001,53.0,45.811649,930600
2018-12-31,53.049999,53.459999,52.02,53.439999,46.191967,1212400
2019-01-02,53.169998,54.619999,52.799999,53.43,46.183334,1171500
2019-01-03,53.380001,54.029999,52.279999,53.41,46.16605,1257400
2019-01-04,53.950001,54.970001,53.529999,54.889999,47.44532,1011600
2019-01-07,54.759998,56.32,54.75,55.349998,47.842918,2636400
2019-01-08,55.509998,56.119999,55.080002,55.73,48.171387,1247000
2019-01-09,55.830002,57.34,55.700001,57.049999,49.312363,2340500
2019-01-10,57.080002,57.34,56.099998,56.669998,48.983891,1235000
2019-01-11,56.349998,56.639999,55.669998,55.720001,48.162739,1089100
2019-01-14,55.5,55.66,54.450001,54.560001,47.160072,1228000
2019-01-15,54.650002,54.650002,52.919998,53.23,46.010456,2250600
2019-01-16,53.349998,54.060001,51.720001,52.369999,45.267097,4166500
2019-01-17,52.84,52.84,51.240002,52.34,45.241177,2446700
2019-01-18,52.529999,53.77,52.330002,53.029999,45.837585,2104300
2019-01-22,52.049999,53.09,51.200001,51.889999,44.852207,2453900
2019-01-23,51.919998,52.669998,51.259998,52.669998,45.526405,2112700
2019-01-24,52.380001,53.830002,52.330002,53.09,45.889446,2129500
2019-01-25,53.099998,53.549999,53.049999,53.290001,46.062317,1243200
2019-01-28,53.07,54.02,52.650002,53.93,46.615524,1531700
2019-01-29,53.860001,54.110001,53.43,53.709999,46.425354,910400
2019-01-30,53.93,54.68,53.709999,54.41,47.030415,943400
2019-01-31,54.43,55.110001,54.349998,55.07,47.600891,1118400
2019-02-01,55.25,55.34,54.419998,54.959999,47.505817,656800
2019-02-04,54.959999,54.959999,53.580002,54.110001,46.771103,966400
2019-02-05,53.970001,54.630001,53.639999,53.990002,46.667381,962400
2019-02-06,53.849998,54.259998,53.639999,54.23,46.874828,448500
2019-02-07,53.799999,54.02,53.110001,53.610001,46.338928,772600
2019-02-08,53.549999,53.990002,52.84,53.029999,45.837585,644000
2019-02-11,52.810001,52.990002,52.34,52.34,45.241177,1121600
2019-02-12,52.759998,53.09,52.310001,52.689999,45.543697,1391300
2019-02-13,52.689999,53.560001,52.540001,53.169998,45.958591,1024600
2019-02-14,53.169998,53.220001,52.639999,52.91,45.733856,659400
2019-02-15,52.73,53.209999,52.259998,52.310001,45.646606,1135700
2019-02-19,52.450001,52.919998,52.130001,52.650002,45.943291,1103700
2019-02-20,52.759998,53.290001,52.580002,52.700001,45.986919,2009400
2019-02-21,51.450001,54.0,48.889999,53.48,46.667553,5792300
2019-02-22,53.110001,54.0,51.639999,51.77,45.175385,3147500
2019-02-25,52.0,54.040001,51.849998,53.43,46.623936,3167000
2019-02-26,53.59,53.75,52.630001,52.860001,46.126537,2788800
2019-02-27,52.77,53.299999,52.34,53.029999,46.274883,2438600
2019-02-28,53.09,53.34,52.73,53.080002,46.318512,2491500
2019-03-01,53.139999,53.490002,52.290001,53.0,46.248699,1348500
